run_id,condition_id,framework,retriever_kind,case_id,active_release,recall_at_k,mrr,forbidden_source_violation,citation_source_correctness,citation_span_correctness,release_consistency,required_phrase_coverage,total_latency_ms,latency_capture_release_ms,latency_generate_ms,latency_pack_ms,latency_release_filter_ms,latency_rerank_ms,latency_retrieve_ms,citation_count,candidate_count,build_manifest_sha256,artifact_dir
task6-20260823T203946,llamaindex:bm25,llamaindex,bm25,multi_fact_wifi,v1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2236.862584,0.000208,2225.654125,0.016583,0.008625,0.003584,11.179459,1,5,e9769660c30770837c25104e681fea98744e2e8c08dcd1b0e6da514c213a4dd7,artifacts/raw/task6-20260823T203946/llamaindex/bm25/case-multi_fact_wifi
task6-20260823T203946,llamaindex:bm25,llamaindex,bm25,exact_identifier_ap50,v1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1056.531792,0.000167,1054.322916,0.019459,0.010417,0.006583,2.17225,1,5,e9769660c30770837c25104e681fea98744e2e8c08dcd1b0e6da514c213a4dd7,artifacts/raw/task6-20260823T203946/llamaindex/bm25/case-exact_identifier_ap50
task6-20260823T203946,llamaindex:bm25,llamaindex,bm25,semantic_travel_connectivity,v1,1.0,1.0,0.0,1.0,1.0,1.0,0.5,814.320916,0.000209,812.08775,0.007958,0.0055,0.003458,2.216041,1,5,e9769660c30770837c25104e681fea98744e2e8c08dcd1b0e6da514c213a4dd7,artifacts/raw/task6-20260823T203946/llamaindex/bm25/case-semantic_travel_connectivity
task6-20260823T203946,llamaindex:bm25,llamaindex,bm25,obsolete_source_trap,v1,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1045.495584,0.00025,1043.2875,0.016167,0.008709,0.004375,2.178583,1,5,e9769660c30770837c25104e681fea98744e2e8c08dcd1b0e6da514c213a4dd7,artifacts/raw/task6-20260823T203946/llamaindex/bm25/case-obsolete_source_trap
task6-20260823T203946,llamaindex:bm25,llamaindex,bm25,version_change_wifi_limit,v2,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1078.820501,0.000333,1076.265709,0.020542,0.010375,0.006167,2.517375,1,5,e9769660c30770837c25104e681fea98744e2e8c08dcd1b0e6da514c213a4dd7,artifacts/raw/task6-20260823T203946/llamaindex/bm25/case-version_change_wifi_limit
task6-20260823T203946,llamaindex:ollama_dense,llamaindex,ollama_dense,multi_fact_wifi,v1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3076.459083,0.000167,3055.513125,0.00775,0.005208,0.002291,20.930542,2,5,e9769660c30770837c25104e681fea98744e2e8c08dcd1b0e6da514c213a4dd7,artifacts/raw/task6-20260823T203946/llamaindex/ollama_dense/case-multi_fact_wifi
task6-20260823T203946,llamaindex:ollama_dense,llamaindex,ollama_dense,exact_identifier_ap50,v1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1511.429084,0.000209,1489.668125,0.01975,0.02,0.008,21.713,1,5,e9769660c30770837c25104e681fea98744e2e8c08dcd1b0e6da514c213a4dd7,artifacts/raw/task6-20260823T203946/llamaindex/ollama_dense/case-exact_identifier_ap50
task6-20260823T203946,llamaindex:ollama_dense,llamaindex,ollama_dense,semantic_travel_connectivity,v1,1.0,1.0,0.0,1.0,1.0,1.0,0.5,875.176874,0.000458,854.284459,0.007041,0.004416,0.002042,20.878458,1,5,e9769660c30770837c25104e681fea98744e2e8c08dcd1b0e6da514c213a4dd7,artifacts/raw/task6-20260823T203946/llamaindex/ollama_dense/case-semantic_travel_connectivity
task6-20260823T203946,llamaindex:ollama_dense,llamaindex,ollama_dense,obsolete_source_trap,v1,1.0,0.5,0.0,1.0,1.0,1.0,1.0,924.686832,0.000167,905.682333,0.006708,0.00475,0.002291,18.990583,1,5,e9769660c30770837c25104e681fea98744e2e8c08dcd1b0e6da514c213a4dd7,artifacts/raw/task6-20260823T203946/llamaindex/ollama_dense/case-obsolete_source_trap
task6-20260823T203946,llamaindex:ollama_dense,llamaindex,ollama_dense,version_change_wifi_limit,v2,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1065.222543,0.000417,1043.641625,0.007666,0.004834,0.002417,21.565584,1,5,e9769660c30770837c25104e681fea98744e2e8c08dcd1b0e6da514c213a4dd7,artifacts/raw/task6-20260823T203946/llamaindex/ollama_dense/case-version_change_wifi_limit
task6-20260823T203946,haystack:bm25,haystack,bm25,multi_fact_wifi,v1,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1835.620332,0.000208,1795.603541,0.009583,0.003458,0.002375,40.001167,1,5,1333d018bc0dfd40ae968d17f81dc271864206f3fb6ad9f3bfc27597d417366c,artifacts/raw/task6-20260823T203946/haystack/bm25/case-multi_fact_wifi
